,episode_nr,total_reward,avg_reward
0,1,0,0.0
1,2,0,0.0
2,3,0,0.0
3,4,0,0.0
4,5,0,0.0
5,6,0,0.0
6,7,0,0.0
7,8,0,0.0
8,9,0,0.0
9,10,0,0.0
10,11,0,0.0
11,12,0,0.0
12,13,0,0.0
13,14,0,0.0
14,15,0,0.0
15,16,0,0.0
16,17,0,0.0
17,18,0,0.0
18,19,0,0.0
19,20,0,0.0
20,21,0,0.0
21,22,0,0.0
22,23,0,0.0
23,24,0,0.0
24,25,2,8.0
25,26,2,7.7
26,27,2,7.4
27,28,4,14.3
28,29,4,13.8
29,30,4,13.3
30,31,4,12.9
31,32,4,12.5
32,33,4,12.1
33,34,4,11.8
34,35,4,11.4
35,36,4,11.1
36,37,4,10.8
37,38,4,10.5
38,39,4,10.3
39,40,4,10.0
40,41,4,9.8
41,42,4,9.5
42,43,4,9.3
43,44,4,9.1
44,45,4,8.9
45,46,4,8.7
46,47,4,8.5
47,48,4,8.3
48,49,4,8.2
49,50,4,8.0
50,51,4,7.8
51,52,4,7.7
52,53,6,11.3
53,54,6,11.1
54,55,6,10.9
55,56,6,10.7
56,57,6,10.5
57,58,6,10.3
58,59,6,10.2
59,60,6,10.0
60,61,6,9.8
61,62,6,9.7
62,63,6,9.5
63,64,6,9.4
64,65,6,9.2
65,66,6,9.1
66,67,6,9.0
67,68,6,8.8
68,69,6,8.7
69,70,6,8.6
70,71,6,8.5
71,72,6,8.3
72,73,6,8.2
73,74,6,8.1
74,75,6,8.0
75,76,6,7.9
76,77,6,7.8
77,78,6,7.7
78,79,6,7.6
79,80,6,7.5
80,81,6,7.4
81,82,6,7.3
82,83,6,7.2
83,84,6,7.1
84,85,6,7.1
85,86,6,7.0
86,87,6,6.9
87,88,8,9.1
88,89,8,9.0
89,90,8,8.9
90,91,8,8.8
91,92,8,8.7
92,93,8,8.6
93,94,8,8.5
94,95,8,8.4
95,96,8,8.3
96,97,8,8.2
97,98,8,8.2
98,99,8,8.1
99,100,8,8.0
100,101,8,7.9
101,102,10,9.8
102,103,10,9.7
103,104,10,9.6
104,105,10,9.5
105,106,10,9.4
106,107,10,9.3
107,108,10,9.3
108,109,10,9.2
109,110,10,9.1
110,111,10,9.0
111,112,10,8.9
112,113,10,8.8
113,114,10,8.8
114,115,10,8.7
115,116,10,8.6
116,117,10,8.5
117,118,10,8.5
118,119,10,8.4
119,120,10,8.3
120,121,10,8.3
121,122,10,8.2
122,123,10,8.1
123,124,10,8.1
124,125,10,8.0
125,126,12,9.5
126,127,12,9.4
127,128,12,9.4
128,129,12,9.3
129,130,12,9.2
130,131,12,9.2
131,132,12,9.1
132,133,14,10.5
133,134,14,10.4
134,135,14,10.4
135,136,14,10.3
136,137,14,10.2
137,138,14,10.1
138,139,14,10.1
139,140,14,10.0
140,141,14,9.9
141,142,14,9.9
142,143,14,9.8
143,144,14,9.7
144,145,14,9.7
145,146,14,9.6
146,147,14,9.5
147,148,14,9.5
148,149,14,9.4
149,150,14,9.3
150,151,14,9.3
151,152,16,10.5
152,153,16,10.5
153,154,16,10.4
154,155,16,10.3
155,156,16,10.3
156,157,16,10.2
157,158,18,11.4
158,159,18,11.3
159,160,18,11.2
160,161,20,12.4
161,162,20,12.3
162,163,20,12.3
163,164,20,12.2
164,165,20,12.1
165,166,20,12.0
166,167,20,12.0
167,168,20,11.9
168,169,20,11.8
169,170,20,11.8
170,171,20,11.7
171,172,20,11.6
172,173,20,11.6
173,174,20,11.5
174,175,22,12.6
175,176,22,12.5
176,177,22,12.4
177,178,22,12.4
178,179,22,12.3
179,180,22,12.2
180,181,24,13.3
181,182,24,13.2
182,183,24,13.1
183,184,24,13.0
184,185,24,13.0
185,186,24,12.9
186,187,26,13.9
187,188,26,13.8
188,189,26,13.8
189,190,26,13.7
190,191,26,13.6
191,192,26,13.5
192,193,26,13.5
193,194,26,13.4
194,195,26,13.3
195,196,26,13.3
196,197,26,13.2
197,198,26,13.1
198,199,26,13.1
199,200,28,14.0
200,201,28,13.9
